"sname","date","value"
"10Y US Bond",2010-01-01,3.837
"10Y US Bond",2010-01-02,3.837
"10Y US Bond",2010-01-03,3.837
"10Y US Bond",2010-01-04,3.823
"10Y US Bond",2010-01-05,3.765
"10Y US Bond",2010-01-06,3.829
"10Y US Bond",2010-01-07,3.827
"10Y US Bond",2010-01-08,3.836
"10Y US Bond",2010-01-09,3.836
"10Y US Bond",2010-01-10,3.836
"10Y US Bond",2010-01-11,3.820
"10Y US Bond",2010-01-12,3.717
"10Y US Bond",2010-01-13,3.793
"10Y US Bond",2010-01-14,3.742
"10Y US Bond",2010-01-15,3.676
"10Y US Bond",2010-01-16,3.676
"10Y US Bond",2010-01-17,3.676
"10Y US Bond",2010-01-18,3.676
"10Y US Bond",2010-01-19,3.700
"10Y US Bond",2010-01-20,3.653
"10Y US Bond",2010-01-21,3.595
"10Y US Bond",2010-01-22,3.601
"10Y US Bond",2010-01-23,3.601
"10Y US Bond",2010-01-24,3.601
"10Y US Bond",2010-01-25,3.630
"10Y US Bond",2010-01-26,3.621
"10Y US Bond",2010-01-27,3.650
"10Y US Bond",2010-01-28,3.642
"10Y US Bond",2010-01-29,3.588
"10Y US Bond",2010-01-30,3.588
"10Y US Bond",2010-01-31,3.588
"10Y US Bond",2010-02-01,3.656
"10Y US Bond",2010-02-02,3.639
"10Y US Bond",2010-02-03,3.707
"10Y US Bond",2010-02-04,3.610
"10Y US Bond",2010-02-05,3.571
"10Y US Bond",2010-02-06,3.571
"10Y US Bond",2010-02-07,3.571
"10Y US Bond",2010-02-08,3.562
"10Y US Bond",2010-02-09,3.641
"10Y US Bond",2010-02-10,3.690
"10Y US Bond",2010-02-11,3.721
"10Y US Bond",2010-02-12,3.695
"10Y US Bond",2010-02-13,3.695
"10Y US Bond",2010-02-14,3.695
"10Y US Bond",2010-02-15,3.695
"10Y US Bond",2010-02-16,3.663
"10Y US Bond",2010-02-17,3.738
"10Y US Bond",2010-02-18,3.807
"10Y US Bond",2010-02-19,3.776
"10Y US Bond",2010-02-20,3.776
"10Y US Bond",2010-02-21,3.776
"10Y US Bond",2010-02-22,3.796
"10Y US Bond",2010-02-23,3.689
"10Y US Bond",2010-02-24,3.693
"10Y US Bond",2010-02-25,3.634
"10Y US Bond",2010-02-26,3.619
"10Y US Bond",2010-02-27,3.619
"10Y US Bond",2010-02-28,3.619
"10Y US Bond",2010-03-01,3.608
"10Y US Bond",2010-03-02,3.610
"10Y US Bond",2010-03-03,3.621
"10Y US Bond",2010-03-04,3.606
"10Y US Bond",2010-03-05,3.685
"10Y US Bond",2010-03-06,3.685
"10Y US Bond",2010-03-07,3.685
"10Y US Bond",2010-03-08,3.721
"10Y US Bond",2010-03-09,3.701
"10Y US Bond",2010-03-10,3.721
"10Y US Bond",2010-03-11,3.727
"10Y US Bond",2010-03-12,3.703
"10Y US Bond",2010-03-13,3.703
"10Y US Bond",2010-03-14,3.703
"10Y US Bond",2010-03-15,3.697
"10Y US Bond",2010-03-16,3.653
"10Y US Bond",2010-03-17,3.642
"10Y US Bond",2010-03-18,3.676
"10Y US Bond",2010-03-19,3.693
"10Y US Bond",2010-03-20,3.693
"10Y US Bond",2010-03-21,3.693
"10Y US Bond",2010-03-22,3.661
"10Y US Bond",2010-03-23,3.689
"10Y US Bond",2010-03-24,3.851
"10Y US Bond",2010-03-25,3.882
"10Y US Bond",2010-03-26,3.851
"10Y US Bond",2010-03-27,3.851
"10Y US Bond",2010-03-28,3.851
"10Y US Bond",2010-03-29,3.868
"10Y US Bond",2010-03-30,3.859
"10Y US Bond",2010-03-31,3.833
"10Y US Bond",2010-04-01,3.868
"10Y US Bond",2010-04-02,3.943
"10Y US Bond",2010-04-03,3.943
"10Y US Bond",2010-04-04,3.943
"10Y US Bond",2010-04-05,3.988
"10Y US Bond",2010-04-06,3.956
"10Y US Bond",2010-04-07,3.863
"10Y US Bond",2010-04-08,3.890
"10Y US Bond",2010-04-09,3.882
"10Y US Bond",2010-04-10,3.882
"10Y US Bond",2010-04-11,3.882
